gene_symbol,mean_coef,median_coef,abs_mean_coef,nonzero_frac,in_clingen_hcvd
SLA,-0.124489404,-0.10330227,0.124489404,1.0,False
PBX2,-0.12442788,-0.12668139,0.12442788,0.8,False
IL6ST,-0.12442323,0.0,0.12442323,0.4,False
LIFR,-0.124318875,-0.13582562,0.124318875,1.0,False
CD276,-0.12395165,-0.124360316,0.12395165,1.0,False
CHST15,0.123862185,0.10191615,0.123862185,1.0,False
NCAM1,-0.1237342,-0.1426407,0.1237342,1.0,False
PPP1R3C,0.123668656,0.09055057,0.123668656,1.0,False
LCP2,-0.12329099,-0.124447316,0.12329099,1.0,False
FBLN1,0.123222545,0.12171195,0.123222545,1.0,False
SCARA3,0.12309954,0.12730712,0.12309954,1.0,False
SEZ6L2,-0.123076715,-0.10480855,0.123076715,1.0,False
CDH3,0.122927085,0.12148011,0.122927085,0.8,False
ARHGEF10L,0.12292214,0.108377986,0.12292214,1.0,False
LAMB2,-0.12246746,-0.11376235,0.12246746,1.0,False
RMRP,-0.12242625,-0.09634469,0.12242625,1.0,False
COL4A5,0.12239542,0.124718055,0.12239542,1.0,False
ERRFI1,-0.12226806,-0.15817113,0.12226806,1.0,False
PCDH18,-0.121851206,-0.16176234,0.121851206,1.0,False
IGFBP7,0.12181767,0.11961396,0.12181767,1.0,False
MIF,0.12178896,0.12950982,0.12178896,1.0,False
CLIC5,-0.12172413,-0.13225514,0.12172413,1.0,False
MMP9,0.12161636,0.09625137,0.12161636,1.0,False
LTBP1,0.121240094,0.12603931,0.121240094,1.0,False
CYTH4,0.121186994,0.12379013,0.121186994,1.0,False
NOTCH3,-0.120807946,-0.078518055,0.120807946,1.0,False
IGLC3,-0.12063594,-0.13287604,0.12063594,1.0,False
RAPH1,0.12028267,0.1362856,0.12028267,1.0,False
CES1,-0.12018348,-0.14843133,0.12018348,1.0,False
RBM24,-0.11991986,-0.14016199,0.11991986,1.0,False
ATXN2L,0.119841054,0.11211345,0.119841054,1.0,False
GPX8,-0.11982636,-0.09755366,0.11982636,1.0,False
S100P,-0.11957636,-0.12515165,0.11957636,0.8,False
MME,0.119567454,0.10278503,0.119567454,1.0,False
CEBPA,0.119544506,0.11347687,0.119544506,1.0,False
SNHG29,0.11939263,0.10975091,0.11939263,0.8,False
GPNMB,0.11849879,0.10490922,0.11849879,1.0,False
S100A8,-0.11826732,-0.105031975,0.11826732,1.0,False
MTATP6P1,-0.11813684,-0.10739584,0.11813684,1.0,False
BTG2,0.11809752,0.0912637,0.11809752,1.0,False
STAB1,0.117974,0.08427634,0.117974,1.0,False
B2M,-0.11796099,-0.12806147,0.11796099,1.0,False
OLFML3,-0.11774971,-0.11913027,0.11774971,1.0,False
LAMA3,0.11769521,0.15282911,0.11769521,1.0,False
ADIRF,0.117647864,0.08207261,0.117647864,1.0,False
MTUS1,-0.11740408,-0.14981438,0.11740408,1.0,False
BOK,-0.11696565,-0.11278087,0.11696565,1.0,False
CPE,-0.11696231,-0.1188757,0.11696231,1.0,False
TGFB2,0.11635029,0.13054423,0.11635029,1.0,False
SNRPN,0.116164744,0.10694726,0.116164744,1.0,False
HMOX1,0.115951255,0.12221168,0.115951255,1.0,False
TJP1,0.1158759,0.060487006,0.1158759,1.0,False
SELPLG,-0.115786806,-0.12028936,0.115786806,1.0,False
HRC,0.115722135,0.13291463,0.115722135,0.8,False
GPRIN3,0.11558745,0.10273456,0.11558745,1.0,False
TUBA1B,0.11551243,0.11015479,0.11551243,1.0,False
AKT1,0.11501706,0.097071774,0.11501706,1.0,False
SLC12A7,0.114840485,0.10512576,0.114840485,1.0,False
AEBP1,-0.114772834,-0.12322811,0.114772834,1.0,False
HLA-C,-0.11474685,-0.124455854,0.11474685,1.0,False
BMP7,-0.114541456,-0.12318595,0.114541456,0.8,False
HLA-C,0.1145259,0.115143046,0.1145259,1.0,False
LTBP4,0.11410843,0.15544955,0.11410843,1.0,False
